SL,District,YEAR,Murder,Attempt to commit Murder,Culpable Homicide not amounting to Murder,Attempt to commit Culpable Homicide,Rape,Attempt to commit Rape,Kidnapping & Abduction_Total,Dacoity,Making Preparation and Assembly for committing Dacoity,Robbery,Criminal Trespass/Burglary,Theft,Unlawful Assembly,Riots,Criminal Breach of Trust,Cheating,Forgery,Counterfeiting,Arson,Grievous Hurt,Dowry Deaths,Assault on Women with intent to outrage her Modesty,Insult to the Modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls from Foreign Country,Causing Death by Negligence,Offences against State,Offences promoting enmity between different groups,Extortion,Disclosure of Identity of Victims,Incidence of Rash Driving,HumanTrafficking,Unnatural Offence,Other IPC crimes,Total Cognizable IPC crimes
State: Andhra Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Anantapur,2016,127,195,6,0,33,15,71,1,0,12,246,509,0,104,20,438,0,8,49,57,23,362,13,130,0,588,0,0,29,0,862,0,0,3200,7098
2,Chittoor,2016,72,73,3,0,21,12,19,7,0,2,163,515,18,46,12,130,0,3,10,13,12,135,3,196,0,590,0,0,20,0,738,0,0,1429,4242
3,Cuddapah,2016,78,257,6,0,38,9,24,7,0,11,240,514,21,73,78,261,12,1,36,16,12,266,104,332,0,480,0,0,38,0,2520,8,0,1987,7429
4,East Godavari,2016,64,78,9,0,120,22,61,4,0,14,402,960,82,77,75,260,15,0,38,28,12,413,146,544,0,625,0,0,55,0,1244,0,0,2643,7991
5,Guntakal Railway,2016,8,0,0,0,0,0,1,0,0,7,0,584,0,3,0,0,0,6,0,11,2,8,0,1,0,1,0,0,0,0,3,0,0,30,665
6,Guntur,2016,109,157,4,0,62,17,40,1,0,13,205,582,3,51,15,312,5,2,44,67,15,283,321,434,0,604,0,0,23,0,860,0,1,2251,6481
7,Guntur Urban,2016,40,50,3,0,43,2,128,3,0,14,177,571,51,12,21,351,20,3,21,13,7,148,137,374,0,291,0,5,46,0,636,1,0,1126,4294
8,Krishna,2016,48,63,5,0,81,31,42,0,0,11,225,474,0,11,26,209,0,2,26,32,21,419,250,606,0,454,0,0,16,0,1000,1,1,2775,6829
9,Kurnool,2016,119,298,7,0,33,6,67,7,0,14,250,497,0,52,92,433,0,8,38,17,18,475,243,277,0,620,0,1,45,0,1331,0,0,3268,8216
10,Nellore,2016,74,148,6,0,52,20,56,4,2,27,365,840,23,65,121,246,17,3,71,52,4,320,154,562,0,462,0,0,24,0,1028,0,0,2763,7509
11,Prakasham,2016,77,82,8,0,67,14,35,3,0,18,259,568,47,61,59,203,62,0,40,24,13,290,36,503,0,527,0,0,17,0,869,4,2,2479,6367
12,Rajahmundry,2016,19,18,2,0,26,1,20,1,0,12,140,402,0,8,37,90,6,2,16,13,4,146,47,191,0,160,0,0,12,0,457,0,0,686,2516
13,Srikakulam,2016,31,26,5,0,41,1,17,0,0,7,67,137,2,6,18,123,3,2,13,47,2,130,9,243,0,283,0,0,16,0,814,6,0,1378,3427
14,Tirupathi Urban,2016,38,36,3,0,16,4,21,6,0,16,194,806,0,26,12,184,0,0,0,8,6,71,17,74,0,245,0,0,0,0,373,0,0,795,2951
15,Vijayawada City,2016,33,50,1,0,72,6,45,2,0,59,321,2006,26,7,64,382,78,2,27,21,10,207,134,412,0,371,0,1,49,0,1280,7,2,1387,7062
16,Vijayawada Railway,2016,7,1,0,0,2,0,0,3,0,9,1,1041,0,6,2,6,0,12,0,1,1,7,5,0,0,0,0,0,11,0,1,0,0,36,1152
17,Visakha Rural,2016,52,59,2,0,34,1,21,3,0,2,132,178,0,28,10,111,0,0,24,43,4,130,5,130,0,347,1,0,14,0,490,0,0,929,2750
18,Visakhapatnam,2016,33,77,5,0,81,2,178,5,0,40,380,1321,0,6,50,611,6,3,15,57,6,306,12,403,0,364,0,0,4,0,1094,0,0,1704,6763
19,Vizianagaram,2016,31,16,3,0,33,2,8,1,0,2,172,235,4,5,12,111,2,1,13,32,4,201,69,299,0,302,0,0,0,0,949,0,0,1849,4356
20,West Godavari,2016,63,111,5,0,139,25,63,5,0,25,466,1116,26,10,40,416,2,4,38,52,17,512,126,750,0,664,0,7,91,0,1246,5,1,2651,8676
21,Total District(s),,1123,1795,83,0,994,190,917,63,2,315,4405,13856,303,657,764,4877,228,62,519,604,193,4829,1831,6461,0,7978,1,14,510,0,17795,32,7,35366,106774
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State: Arunachal Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Anjaw,2016,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,1,0,0,0,6,0,0,0,0,0,1,0,0,1,0,0,0,0,6,20
2,Changlang,2016,5,3,0,0,5,0,13,1,0,2,12,32,0,2,0,0,0,2,4,25,0,5,0,4,0,5,2,0,18,0,11,0,0,7,158
3,Crime Branch,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Dibang Valley,2016,0,0,0,0,1,0,0,0,0,0,4,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
5,Kameng East,2016,5,4,1,0,5,0,5,0,0,1,11,12,0,0,2,8,0,0,0,23,0,8,0,0,0,3,0,0,2,0,3,0,0,19,112
6,Kameng West,2016,1,0,1,0,0,0,2,0,0,1,13,26,0,0,1,1,5,0,2,8,0,7,0,0,0,18,0,0,2,0,18,0,0,16,122
7,Kurung Kumey,2016,0,3,0,0,1,0,2,0,0,0,4,5,0,0,2,0,0,0,0,2,0,1,0,3,0,0,0,0,3,0,2,0,0,25,53
8,Lohit,2016,0,1,0,0,3,0,10,0,0,1,9,16,0,0,0,4,1,0,0,8,1,5,0,2,0,12,0,0,1,0,10,0,0,21,105
9,Longding,2016,2,3,1,0,2,0,3,0,0,1,3,7,0,0,1,3,0,0,0,11,0,0,0,0,0,1,0,0,7,0,0,0,0,6,51
10,Lower Dibang Valley,2016,1,0,0,0,1,0,1,0,0,4,8,11,0,0,1,2,0,0,0,12,0,3,0,0,0,10,0,0,3,0,4,0,0,9,70
11,Papum Pare City,2016,8,5,1,0,25,4,36,1,0,22,64,207,0,5,14,43,7,1,6,45,0,45,8,27,0,8,0,0,29,0,43,1,1,115,771
12,Papum Pare Rural,2016,2,1,0,0,1,0,5,3,0,1,9,22,0,0,4,2,2,0,0,8,0,0,0,0,0,2,0,0,3,0,2,0,0,14,81
13,Siang East,2016,2,3,1,0,14,3,8,0,0,14,14,59,0,1,0,8,2,0,9,11,0,8,2,7,0,9,0,1,4,0,11,0,0,54,245
14,Siang Upper,2016,1,1,0,0,5,0,1,0,0,0,7,7,0,0,0,1,0,0,0,3,0,1,0,0,0,4,0,0,2,0,3,0,0,14,50
15,Siang West,2016,0,3,0,0,10,3,3,1,0,3,15,13,0,0,4,16,1,0,3,26,0,9,0,0,0,7,0,0,3,0,10,0,0,22,152
16,Subansiri Lower,2016,1,2,1,0,2,0,4,3,0,3,12,21,0,0,0,10,1,0,1,20,0,2,0,0,0,1,0,0,3,0,1,0,0,66,154
17,Subansiri Upper,2016,3,7,0,0,6,4,2,0,0,0,10,10,0,0,0,4,1,0,1,4,0,6,0,3,0,1,0,0,1,0,5,0,0,22,90
