IPC Crimes (Crime Head-wise & States/UT-wise) - 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. No,State/UT/District,Offences affecting the Human Body,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Offences against State,,,,Offences against Public Tranquillity,,,,,,,,,,,,,,,,,,,,,,,,Offences against Property,,,,,,,,,,,,,,,,,Offences Relating to Documents & Property Marks,,,,,,,,,,,,,,Miscellaneous IPC Crimes,,,,,,,,,,,,,,,,,,,,,Other IPC Crimes,Total Cognizable IPC crimes
,,Murder (Sec.302 IPC),Culpable Homicide not amounting to Murder (Sec.304 IPC),Causing Death by Negligence,,,,,,,,Dowry Deaths (Sec.304-B IPC),Abetment of Suicide (Sec.305/306 IPC),Attempt to Commit Murder (Sec.307 IPC),Attempt to commit Culpable Homicide (Sec.308 IPC),Attempt to Commit Suicide (Sec.309 IPC),"Miscarriage, Infanticide, Foeticide and Abandonment (Sec.313 to 318 IPC) 
",Hurt,,,,,,,,,,,,,,,Wrongful Restraint/Confinement (Sec.341 to 348 IPC),Assault on Women with Intent to Outrage her Modesty,,,,,,,,,,Kidnapping and Abduction,,,,,,,,,,,Human Trafficking (U/S 370),Exploitation of Trafficked Person 370A IPC),Selling of Minors for Prostitution (Sec.372 IPC),Buying of Minors for Prostitution (Sec.373 IPC),Rape (Sec.376 IPC),Attempt to Commit Rape (Sec.376/511 IPC),Unnatural Offences (Sec.377 IPC),Offences Affecting the Human Body (Total),,,,,"Unlawful Assembly (Sec.143, 144 & 145)",Rioting (Sec.1470151 IPC),,,,,,,,,,,,,,,,,,Offences promoting enmity between different groups,,,Affray (Sec.159 & 160 IPC),Offences against Public Tranquillity (Total),Theft (Section 379 IPC),,,Burglary (Sec.454 to 460 r/w Sec.380 IPC),,,Extortion & Blackmailing (Sec.384 to 389 IPC),Robbery  (Sec.392/394/397 IPC),Attempt to Commit Dacoity/Robbery (Sec.393 & 398 IPC),Dacoity,,,Making Preparation and Assembly for committing Dacoity (Sec.399 & 402 IPC),Criminal Misappropriation (Sec.403/404 r/w Other IPC),Criminal Breach of Trust (Sec.406 to 409 IPC),Dishonestly Receiving/Dealing-in Stolen Property (Sec.411 to 414 IPC),Offences against Property (Total),Counterfeiting,,,,,"Forgery, Cheating & Fraud",,,,,,,,Offences Relating to Documents & Property Marks (Total),Offences relating to Elections (Sec.171-E to 171-I r/w IPC/SLL),Disobedience to order duly promulgated by Public Servant (Sec.188),Harbouring an Offender (Sec.212/216/216A IPC),Offences relating to Adulteration or Sale of Food/Drugs (Sec.272/273/274/275/276 IPC),Rash Driving on Public way (Sec.279/279 r/w 336/337/338/Other IPC),,,Rash Driving on Public way,Obstruction on Public way (Sec.283 IPC),Sale of obscene Books/Objects (Sec.292 & 293),Obscene Acts and Songs at Public Places (Sec.294),Offences relating to Religion (Sec.295 to 297),Cheating by Impersonation (Sec.419 IPC),Offences related to Mischief (Sec.428 to 433),"Arson (Sec.435, 436 & 438 IPC)",Criminal Trespass (Sec.447 to 452 IPC),Cruelty by Husband or his Relatives (Sec.498-A IPC),Circulate False/Fake News/Rumours (Sec.505 IPC/Sec.505 r/w IT Act),Criminal Intimidation (Sec.506 r/w Other IPC Crimes),Insult to the Modesty of Women (Sec.509 IPC),Miscellaneous IPC Crimes(Total),,
,,,,Causing Death by Negligence (Sec.304-A IPC) (Col.6+Col 9 to 12),Deaths due to Negligence relating to Road Accidents,,,Deaths due to Negligence relating to Rail Accidents,Deaths due to Medical Negligence,Deaths due to Negligence of Civic Bodies,Deaths due to other Negligence,,,,,,,"Hurt (Total) (Col.20 + Col.26)
",Simple Hurt,,,,,,Grievous Hurt,,,,,,,,,Assault on Women with Intent to Outrage her Modesty (Sec.354 IPC) (Total) (Col.36+Col.37+Col42 to 44),"Assault on Women 
(Sec.354 IPC)",Sexual Harassment,,,,,Assault or use of Criminal Force on women with intent to Disrobe (Sec.354B IPC),Voyeurism (Sec.354C IPC),Stalking (Sec.354D IPC),"Kidnapping and Abduction (Total) (Col.46+ Col.49 to Col.55)
",Kidnapping and Abduction (Sec.363 IPC),,,Kidnapping and Abduction for the Purpose of Begging (Sec.363 A),Kidnapping and Abduction in order to Murder (Sec.364 IPC),Kidnapping for Ransom (Sec.364A IPC), Kidnapping and Abduction of Women to compel her for marriage (Sec.366 IPC),Procuration of Minor Girls (Sec.366A),Importation of Girls from Foreign Country (Sec.366-B IPC),"Other Kidnapping & Abduction (Sec.365, 367, 368, 369)",,,,,,,,,Offences against State (Total) (Col.65 +Col.66),A) Sedition (Sec.124A IPC),"B) Others (Sec.121, 121A, 122 & 123 IPC)","Offences against the State (Total)  (Col.65 +Col.66)
",,"Rioting (Total) (Col.70 to Col.86)
Col.198=Col.201+Col.204+Col.207+Col.210+Col.213+Col.216+Col.219+Col.222+Col.225+Col.228+Col.231+Col.234+Col.237+Col.240+Col.243+Col.246+Col.249)
",Communal/ Religious,Sectarian,Industrial,Political,Caste Conflict,Agrarian,Students,Vigilants,Money Dispute,Water Dispute,Land/ Property Dispute,Family Disputes,Enmity/Rivalry,Electricity /Power Supply Disputes,Rioting while in Aandolan/ Morcha,Rioting/Attacks on Police Personnel or Govt Servants,Other Rioting,Offences promoting enmity between different groups (Total) (Col.88+Col.89),A) Promoting enmity between groups (Sec.153A & 153B IPC),"B) Imputation, assertions prejudicial to national integration (Sec.153 B IPC)",,,"Theft (Total) (Col.93+Col.94)
",A) Auto/Motor Vehicle Theft,B) Other Thefts,"Burglary (Total) (Col.96 + Col.97)
",A) Day Time,B) Night,,,,"Dacoity  (Total) (Col.102+Col.103)
",A) Dacoity (Sec.395/397 IPC),B) Dacoity with Murder (Sec.396 IPC),,,,,,"Counterfeiting (Total) (Col.110 to 113)
","Counterfeit Coin (Sec.231-235,237,238-240 & 242-254 IPC)",Counterfeiting Government Stamp (Sec.255 to 260 IPC),Counterfeiting of Seal or Mark (Sec.472/473 IPC),Counterfeit Currency & Bank notes (Sec.489-A to 489-E IPC),"Forgery, Cheating & Fraud  (Total) (Col.115+Col.120+Col.121)",Fraud ,,,,, Cheating (Sec.420 IPC), Forgery,,,,,,"Rash Driving on Public way (Total) (Col128+Col129)
",Rash Driving on Public Way (Sec.279 or Sec.279 r/w 336/Other IPC),Causing Hurt by Rash/Negligent Driving on Public Way (Sec.279 r/w 337 IPC),Causing Grievous Hurt by Rash/Negligent Driving on Public (Sec.279 r/w 338 IPC),,,,,,,,,,,,,,,
,,,,,Deaths due to Negligence relating to Road Accidents (Total) (Col.7+Col.8),Hit and Run,Other Accidents (other than Hit and Run),,,,,,,,,,,,Simple Hurt (Total) (Col.21 to Col.25),Voluntarily Causing Simple Hurt (Sec.323 r/w 341/342),Voluntarily causing hurt by Dangerous weapons or means (Sec.324 IPC),Voluntarily Causing hurt/Force to deter public servant from his duty (Sec.332/353 IPC),Causing Hurt by act endangering life/safety of others (Sec.336/337),"Other Simple Hurt (Sec.327, 328, 330 & 334)",Grievous Hurt (Total) (Col.27 to 33),Voluntarily causing grievous hurt (Sec.325 IPC),Voluntarily causing grievous hurt by dangerous weapons or means (Sec.326 IPC),Acid Attack (Sec.326A IPC),Attempt to Acid Attack (Sec.326B IPC),Voluntarily Causing Grievous hurt/Force to deter public servant from his duty (Sec.333/353 IPC),Causing Grievous Hurt by act endangering life/safety of others (Sec.338 IPC),"Other Grievous Hurt (Sec.329, 331 & 335)",,,,"Sexual Harassment (Sec.354A IPC) (Total) Col 38 to 41)
",a) at Work or Office Premises,b) In Public Transport System,c) In Shelter Homes for women and Children,d) Other Places,,,,,Kidnapping and Abduction (Sec.363 IPC) (Col.47+Col.48),A) Missing Children Deemed as Kidnapped ,B) Other Kidnapping & Abduction ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fraud (Sec.420 r/w Sec.465,468-471 IPC/IT Act) (Col.116 to 119)
",a) Bank,b) ATMs,c) Credit Card/Debit Card,d) Other Frauds ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145
State: Andhra Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Anantapur,113,4,569,553,50,503,0,0,0,16,14,63,175,0,21,9,2090,2024,393,1610,11,10,0,66,7,59,0,0,0,0,0,107,417,196,113,0,5,58,50,43,5,60,86,25,8,17,3,0,4,32,16,0,6,3,0,0,0,43,11,0,3725,0,0,0,0,35,74,4,0,0,3,3,0,0,0,0,0,15,19,17,0,5,5,3,5,5,0,79,193,455,176,279,274,55,219,27,23,1,5,5,0,0,0,28,0,813,6,0,0,0,6,390,249,20,26,3,200,137,4,396,3,16,0,6,1934,1041,864,29,1,0,0,6,4,9,38,198,471,0,139,8,2833,159,8119
2,Chittoor,70,5,529,497,36,461,0,0,0,32,8,24,83,0,6,1,867,736,113,490,31,102,0,131,4,31,0,0,11,84,1,38,168,163,5,1,0,1,3,0,0,0,14,5,0,5,0,0,2,3,2,0,2,0,0,0,0,24,9,0,1846,0,0,0,0,5,45,2,0,2,1,0,0,0,0,0,1,16,7,3,0,0,1,12,1,1,0,30,81,411,199,212,107,21,86,4,6,0,6,6,0,3,5,11,1,554,2,0,0,0,2,160,11,2,3,3,3,141,8,162,0,1,0,0,323,52,121,150,0,0,5,0,0,4,7,100,212,1,26,12,691,470,3804
3,Cuddapah,88,10,487,469,32,437,0,0,0,18,15,143,286,0,16,2,2494,2385,606,949,118,712,0,109,2,21,0,0,10,76,0,124,495,203,101,0,1,2,98,82,5,104,37,11,11,0,1,2,0,7,15,0,1,4,1,0,0,41,6,0,4249,0,0,0,0,85,33,1,0,0,0,0,0,0,0,0,0,16,6,0,0,0,0,10,1,1,0,325,444,520,247,273,234,59,175,96,19,0,0,0,0,0,1,78,1,949,3,0,0,0,3,283,32,3,9,0,20,206,45,286,1,132,0,0,6796,6636,130,30,10,0,4,0,1,44,68,198,481,0,332,60,8127,447,14502
4,East Godavari,69,14,664,641,138,503,0,0,0,23,10,18,74,0,109,0,1033,989,112,809,62,6,0,44,0,20,3,0,14,7,0,333,507,223,136,0,0,0,136,63,23,62,44,25,0,25,0,1,3,4,6,0,5,0,0,0,0,108,12,1,2996,0,0,0,0,4,8,0,0,0,3,0,0,0,0,0,0,2,0,3,0,0,0,0,6,6,0,4,22,960,347,613,372,64,308,33,16,3,2,2,0,0,1,91,0,1478,4,0,0,0,4,329,0,0,0,0,0,296,33,333,0,50,0,0,2394,1125,889,380,0,0,17,12,0,25,40,848,601,0,50,127,4164,48,9041
5,Guntakal Railway,11,0,4,0,0,0,0,0,0,4,3,3,7,0,0,0,23,22,16,0,3,3,0,1,0,0,0,0,0,1,0,0,3,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,667,0,667,0,0,0,6,6,0,0,0,0,0,0,0,0,679,5,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,7,6,751
